Date,Group,TopicType,Url,Title,RawGithubUrl,ADA Status,Eligible for Exec Doc Conversion?,Reason for Ineligiblity,PageViews,PVMoM,Visitors,Engagement,Flags,BounceRate,ClickThroughRate,CopyTryScrollRate,ExitRate,HelpfulRating,Ratings,Verbatims,Link_Drilldown_Docs,Link_Trends,Freshness,LastPublished,LastReviewed,OrganicSearchReferrals,OrganicSearchRate,DirectTrafficRate,MicrosoftTrafficRate,ExternalTrafficRate,SocialMediaTrafficRate,CopyRate,TryRate,ScrollRate,FirstPublished,MSAuthor,IsHistorical,RedirectUrl,PlatformId,TopicKey,CSAs
25-Feb,Concepts,concept-article,https://learn.microsoft.com/en-us/azure/aks/cluster-autoscaler,Use the cluster autoscaler in Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/cluster-autoscaler.md,,yes,,"3,767",-26.40%,"2,230",H,1,10.40%,20.30%,88.20%,42.40%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=f0d0fac1-e648-90d5-e684-3bc51db0316b,https://aka.ms/learncontenttrends?p_SelectedPlatformId=f0d0fac1-e648-90d5-e684-3bc51db0316b,> 365 days,########,1/11/2024,"1,872",49.70%,15.50%,24.50%,10.10%,0.20%,14%,0%,88%,8/1/2024,schaffererin,No,,f0d0fac1-e648-90d5-e684-3bc51db0316b,a723720c-7dd3-3bd6-91e9-74e4aa881fe4,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,concept-article,https://learn.microsoft.com/en-us/azure/aks/vertical-pod-autoscaler-api-reference,Vertical Pod Autoscaler API reference in Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/vertical-pod-autoscaler-api-reference.md,,no,"documentation is API reference only, contains no bash-executable commands or CLI steps",57,-20.80%,36,H,0,5.30%,28.10%,91.70%,31.60%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=8636f15b-ff13-dfc7-5aa1-7fb88afc8d21,https://aka.ms/learncontenttrends?p_SelectedPlatformId=8636f15b-ff13-dfc7-5aa1-7fb88afc8d21,> 365 days,########,9/26/2023,8,14.00%,5.30%,80.70%,0.00%,0.00%,6%,0%,89%,8/1/2024,nickoman,No,,8636f15b-ff13-dfc7-5aa1-7fb88afc8d21,b62ba0aa-a9b8-3c7a-a20e-8dd389eb3254,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,concept-article,https://learn.microsoft.com/en-us/azure/aks/windows-aks-customer-stories,Windows AKS customer stories - Windows AKS customer stories,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/windows-aks-customer-stories.md,,no,"no bash or terminal commands present, only narrative customer stories",59,7.30%,52,H,0,10.20%,42.40%,76.90%,32.20%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=f68146fc-87e2-79aa-a100-6a519384d0d8,https://aka.ms/learncontenttrends?p_SelectedPlatformId=f68146fc-87e2-79aa-a100-6a519384d0d8,> 365 days,########,########,6,10.20%,15.30%,72.90%,1.70%,0.00%,0%,0%,77%,8/1/2024,schaffererin,No,,f68146fc-87e2-79aa-a100-6a519384d0d8,1b893afa-2905-396d-8382-f04a7905d1eb,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,concept-article,https://learn.microsoft.com/en-us/azure/aks/windows-aks-partner-solutions,Windows AKS partner solutions - Windows Server Container Partner Solutions,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/windows-aks-partner-solutions.md,,no,no bash or shell commands present,22,-31.30%,18,H,1,4.50%,63.60%,66.70%,9.10%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=c9e5d1ec-bdbe-df10-d520-641b0e411343,https://aka.ms/learncontenttrends?p_SelectedPlatformId=c9e5d1ec-bdbe-df10-d520-641b0e411343,> 365 days,########,9/26/2023,6,27.30%,9.10%,63.60%,0.00%,0.00%,0%,0%,67%,8/1/2024,magoedte,No,,c9e5d1ec-bdbe-df10-d520-641b0e411343,867cc410-e142-3bbc-bcd9-084c25b2ce08,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/aks-communication-manager,AKS Communication Manager (Preview) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/aks-communication-manager.md,,no,"contains GUI navigation steps and non-shell code blocks (arg query language, not bash)",279,-58.20%,211,H,0,9.00%,36.20%,79.60%,22.90%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=cfd3d756-6b18-1864-9069-890d1dc8a30a,https://aka.ms/learncontenttrends?p_SelectedPlatformId=cfd3d756-6b18-1864-9069-890d1dc8a30a,91-180 days,11/5/2024,########,45,16.10%,13.60%,64.20%,5.70%,0.40%,5%,0%,78%,11/5/2024,kaarthis,No,,cfd3d756-6b18-1864-9069-890d1dc8a30a,96b9f989-bb48-3090-91f7-ce3e24e67360,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/node-auto-drain,Automatically drain Azure Kubernetes Service (AKS) nodes - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/node-auto-drain.md,,no,No bash or Azure CLI commands present; content is conceptual only.,176,198.30%,134,H,0,4.50%,35.80%,88.80%,34.10%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=2444e75a-2556-2109-525a-6d6e7489e28a,https://aka.ms/learncontenttrends?p_SelectedPlatformId=2444e75a-2556-2109-525a-6d6e7489e28a,0-90 days,1/22/2025,1/3/2025,62,35.20%,13.10%,51.70%,0.00%,0.00%,4%,0%,89%,1/22/2025,nickoman,No,,2444e75a-2556-2109-525a-6d6e7489e28a,6484f73b-5f6f-398b-bcee-60ccb3914258,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/node-auto-repair,Automatically repair Azure Kubernetes Service (AKS) nodes - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/node-auto-repair.md,,no,no supported Bash or Azure CLI commands present; content is conceptual only,584,-5.50%,370,H,0,8.00%,28.60%,85.90%,37.70%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=bfc22d83-71bd-99aa-c0db-62896eef358e,https://aka.ms/learncontenttrends?p_SelectedPlatformId=bfc22d83-71bd-99aa-c0db-62896eef358e,0-90 days,2/26/2025,1/3/2025,206,35.30%,19.30%,36.80%,8.60%,0.00%,3%,0%,86%,8/1/2024,nickoman,No,,bfc22d83-71bd-99aa-c0db-62896eef358e,5a2439e0-6e05-37db-8bb4-b763f561fb41,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/free-standard-pricing-tiers,"Azure Kubernetes Service (AKS) Free, Standard, and Premium pricing tiers for cluster management - Azure Kubernetes Service",https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/free-standard-pricing-tiers.md,,yes,,"2,707",-28.80%,"1,948",H,0,8.30%,28.30%,91.00%,44.30%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=8c230770-0e19-3492-b7b5-3e65c60f98c1,https://aka.ms/learncontenttrends?p_SelectedPlatformId=8c230770-0e19-3492-b7b5-3e65c60f98c1,181-270 days,2/27/2025,6/7/2024,"1,584",58.50%,10.60%,27.40%,3.40%,0.10%,7%,0%,91%,8/1/2024,schaffererin,No,,8c230770-0e19-3492-b7b5-3e65c60f98c1,8c2caa40-03fa-3260-85f2-11dc2ead098e,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/core-aks-concepts,Azure Kubernetes Services (AKS) core concepts - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/core-aks-concepts.md,,no,"contains only conceptual information, no bash or command-line executable code blocks","6,635",-22.40%,"4,436",H,0,11.10%,30.50%,86.70%,37.60%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=e3f565f0-7158-abd9-7b44-f4e09099d0ff,https://aka.ms/learncontenttrends?p_SelectedPlatformId=e3f565f0-7158-abd9-7b44-f4e09099d0ff,181-270 days,2/26/2025,7/10/2024,"2,142",32.30%,13.90%,49.00%,4.60%,0.20%,4%,0%,87%,8/1/2024,schaffererin,No,,e3f565f0-7158-abd9-7b44-f4e09099d0ff,ed1aa962-842a-3e9d-b5d2-1a412380799c,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/azure-linux-aks-partner-solutions,Azure Linux AKS Container Host partner solutions - Azure Linux AKS Container Host partner solutions,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/azure-linux-aks-partner-solutions.md,,no,"no bash/terminal commands or procedures are present, only informational partner solution descriptions",115,-26.30%,92,H,0,14.80%,30.40%,75.00%,48.70%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=801e0556-954e-fdb8-5860-51805100a006,https://aka.ms/learncontenttrends?p_SelectedPlatformId=801e0556-954e-fdb8-5860-51805100a006,91-180 days,2/27/2025,12/2/2024,21,18.30%,20.90%,60.90%,0.00%,0.00%,1%,0%,75%,8/1/2024,schaffererin,No,,801e0556-954e-fdb8-5860-51805100a006,825f3403-8e6b-30bf-9e48-6a1551adab30,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-kubernetes-service-aks-security-baseline,Azure security baseline for Azure Kubernetes Service (AKS),,,no,No content provided to evaluate eligibility.,517,-32.90%,345,H,1,11.20%,23.40%,77.70%,32.30%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=1ea99b30-8933-381b-163f-79e533788a1d,https://aka.ms/learncontenttrends?p_SelectedPlatformId=1ea99b30-8933-381b-163f-79e533788a1d,0-90 days,2/27/2025,2/25/2025,154,29.80%,24.40%,38.70%,7.20%,0.00%,5%,0%,77%,4/5/2023,mbaldwin,No,,1ea99b30-8933-381b-163f-79e533788a1d,78f43123-bff2-3c12-9b1f-49e839611c7e,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/cluster-autoscaler-overview,Cluster autoscaling in Azure Kubernetes Service (AKS) overview - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/cluster-autoscaler-overview.md,,no,no bash/az cli commands or terminal instructions present,"1,248",-22.30%,754,H,0,8.70%,32.80%,90.60%,37.10%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=a5006bdb-cca1-a896-e441-3bef0d28f86c,https://aka.ms/learncontenttrends?p_SelectedPlatformId=a5006bdb-cca1-a896-e441-3bef0d28f86c,> 365 days,########,1/5/2024,628,50.30%,13.10%,34.60%,1.90%,0.00%,10%,0%,90%,8/1/2024,schaffererin,No,,a5006bdb-cca1-a896-e441-3bef0d28f86c,fc3eef6f-59a7-34e8-8730-4080e44d2a9a,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/concepts-identity,Concepts - Access and identity in Azure Kubernetes Services (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/concepts-identity.md,,no,does not contain any executable bash/CLI commands or step-by-step terminal procedures,"4,469",-26.60%,"2,839",H,1,12.60%,20.50%,87.50%,34.90%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=bd3f513f-33e9-cac8-677e-932b998bef49,https://aka.ms/learncontenttrends?p_SelectedPlatformId=bd3f513f-33e9-cac8-677e-932b998bef49,271-365 days,########,3/7/2024,"2,373",53.10%,11.30%,32.60%,3.00%,0.00%,8%,0%,88%,8/1/2024,jpalma,No,,bd3f513f-33e9-cac8-677e-932b998bef49,7976a6ce-7704-3345-88b6-d83853a05b1c,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/concepts-network-legacy-cni,Concepts - AKS Legacy Container Networking Interfaces (CNI) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/concepts-network-legacy-cni.md,,no,No bash/CLI commands or executable steps are present; content is conceptual/reference only.,463,-35.00%,277,H,0,8.40%,41.90%,86.30%,24.40%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=4142916a-8477-19ed-8d8d-36387c4bab0b,https://aka.ms/learncontenttrends?p_SelectedPlatformId=4142916a-8477-19ed-8d8d-36387c4bab0b,271-365 days,9/16/2024,5/29/2024,92,19.90%,4.10%,74.70%,1.30%,0.00%,9%,0%,86%,8/1/2024,schaffererin,No,,4142916a-8477-19ed-8d8d-36387c4bab0b,ce5086e1-b029-3c44-951d-03d397596731,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/concepts-network-azure-cni-overlay,Concepts - Azure CNI Overlay networking in AKS - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/concepts-network-azure-cni-overlay.md,,no,content contains only conceptual information and no bash commands or executable steps,"1,244",-31.30%,785,H,0,11.30%,33.70%,85.00%,30.00%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=879569cd-b55f-489f-f928-44be5fcc5801,https://aka.ms/learncontenttrends?p_SelectedPlatformId=879569cd-b55f-489f-f928-44be5fcc5801,271-365 days,8/1/2024,5/14/2024,400,32.20%,10.40%,54.30%,3.20%,0.00%,7%,0%,85%,8/1/2024,schaffererin,No,,879569cd-b55f-489f-f928-44be5fcc5801,65f6292f-076a-310e-9a0d-12ec486d83e7,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/concepts-network-azure-cni-pod-subnet,Concepts - Azure CNI Pod Subnet networking in AKS - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/concepts-network-azure-cni-pod-subnet.md,,yes,,"1,001",-31.00%,581,H,0,8.00%,36.90%,88.50%,21.80%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=809a9c28-b64d-a782-92c4-3e288b9946a6,https://aka.ms/learncontenttrends?p_SelectedPlatformId=809a9c28-b64d-a782-92c4-3e288b9946a6,271-365 days,1/8/2025,5/21/2024,316,31.60%,7.90%,59.40%,1.10%,0.00%,5%,0%,89%,8/1/2024,schaffererin,No,,809a9c28-b64d-a782-92c4-3e288b9946a6,3e1b7307-e2d4-33c5-9fd5-a5f3c35b82c4,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/concepts-network-cni-overview,Concepts - CNI networking in AKS - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/concepts-network-cni-overview.md,,no,no executable bash or supported code blocks present,"1,497",-31.80%,933,H,0,9.60%,37.90%,89.20%,27.10%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=f66f81c3-ac56-c9e9-9e27-d9c0bcefe983,https://aka.ms/learncontenttrends?p_SelectedPlatformId=f66f81c3-ac56-c9e9-9e27-d9c0bcefe983,271-365 days,10/2/2024,5/28/2024,222,14.80%,18.10%,64.70%,2.30%,0.10%,8%,0%,89%,8/1/2024,schaffererin,No,,f66f81c3-ac56-c9e9-9e27-d9c0bcefe983,e9ddba48-956c-3e4d-8fef-48bdde649a9c,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/concepts-fine-tune-language-models,Concepts - Fine-tuning language models for AI and machine learning workflows - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/concepts-fine-tune-language-models.md,,no,no eligible bash or Azure CLI commands present,76,-33.90%,64,H,1,15.80%,36.80%,81.30%,28.90%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=7231154f-2ece-ed94-98f5-266ca5a68648,https://aka.ms/learncontenttrends?p_SelectedPlatformId=7231154f-2ece-ed94-98f5-266ca5a68648,181-270 days,8/1/2024,7/15/2024,27,35.50%,10.50%,50.00%,2.60%,1.30%,2%,0%,81%,8/1/2024,schaffererin,No,,7231154f-2ece-ed94-98f5-266ca5a68648,412716b8-e4ab-35db-bfd9-e37d60ffb810,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/concepts-network-ingress,Concepts - Ingress Networking in Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/concepts-network-ingress.md,,no,no executable bash/az cli commands present,"2,751",-26.10%,"1,881",H,0,9.70%,28.40%,88.20%,30.80%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=9eaf78d5-0a9e-0cd2-974c-dd75fd95bbc8,https://aka.ms/learncontenttrends?p_SelectedPlatformId=9eaf78d5-0a9e-0cd2-974c-dd75fd95bbc8,271-365 days,2/18/2025,6/3/2024,"1,736",63.10%,8.60%,26.80%,1.50%,0.00%,5%,0%,88%,8/1/2024,schaffererin,No,,9eaf78d5-0a9e-0cd2-974c-dd75fd95bbc8,e6736334-fff0-354d-9d46-56c025fb63df,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/concepts-network-ip-address-planning,Concepts - IP address planning in Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/concepts-network-ip-address-planning.md,,no,no eligible bash/terminal commands present,"1,763",-21.80%,"1,211",H,0,10.30%,26.50%,88.40%,37.50%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=29dbdce4-7c36-1e29-fdcf-c9c6cd814b1d,https://aka.ms/learncontenttrends?p_SelectedPlatformId=29dbdce4-7c36-1e29-fdcf-c9c6cd814b1d,271-365 days,9/9/2024,5/28/2024,940,53.30%,11.90%,33.40%,1.40%,0.00%,6%,0%,88%,8/1/2024,schaffererin,No,,29dbdce4-7c36-1e29-fdcf-c9c6cd814b1d,2f6b91d7-6efa-3512-9718-8044b60f16b5,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/concepts-machine-learning-ops,Concepts - Machine learning operations (MLOps) for AI and machine learning workflows - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/concepts-machine-learning-ops.md,,no,no command-line or bash instructions present,108,-28.00%,77,H,0,5.60%,30.60%,85.70%,22.20%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=6e8426da-02ef-9d2c-2f64-ec1f3feb10bf,https://aka.ms/learncontenttrends?p_SelectedPlatformId=6e8426da-02ef-9d2c-2f64-ec1f3feb10bf,91-180 days,########,########,25,23.10%,16.70%,60.20%,0.00%,0.00%,1%,0%,86%,########,schaffererin,No,,6e8426da-02ef-9d2c-2f64-ec1f3feb10bf,b2fce1ec-ce72-3840-926c-f075a50f681e,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/concepts-network,Concepts - Networking in Azure Kubernetes Services (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/concepts-network.md,,no,no executable bash or Azure CLI commands present,"3,538",-26.80%,"2,274",H,0,10.30%,37.80%,87.90%,24.50%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=6a54186d-3b00-4b26-57f9-47242f389846,https://aka.ms/learncontenttrends?p_SelectedPlatformId=6a54186d-3b00-4b26-57f9-47242f389846,271-365 days,########,6/3/2024,"1,528",43.20%,13.70%,38.20%,4.60%,0.30%,3%,0%,88%,8/1/2024,schaffererin,No,,6a54186d-3b00-4b26-57f9-47242f389846,be520e3a-6163-312f-bf28-61fae3808cde,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/concepts-scale,Concepts - Scale applications in Azure Kubernetes Services (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/concepts-scale.md,,no,content is conceptual and does not contain any executable bash or CLI commands,"1,717",-22.10%,"1,210",H,0,8.30%,35.10%,88.30%,33.60%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=9a2e0496-753e-1946-73a4-5ff246cff839,https://aka.ms/learncontenttrends?p_SelectedPlatformId=9a2e0496-753e-1946-73a4-5ff246cff839,271-365 days,11/7/2024,3/18/2024,953,55.50%,12.60%,29.10%,2.70%,0.00%,5%,0%,88%,8/1/2024,nickoman,No,,9a2e0496-753e-1946-73a4-5ff246cff839,2f218ee5-a0b3-3339-891c-9a8a9ea49abc,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/concepts-network-services,Concepts - Services in Azure Kubernetes Services (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/concepts-network-services.md,,no,"contains only conceptual information and GUI screenshots, no executable bash commands",692,-23.10%,491,H,0,7.40%,41.20%,89.20%,28.00%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=a54ff448-f332-145b-cc56-55d747327136,https://aka.ms/learncontenttrends?p_SelectedPlatformId=a54ff448-f332-145b-cc56-55d747327136,271-365 days,9/25/2024,4/8/2024,324,46.80%,6.50%,46.10%,0.60%,0.00%,4%,0%,89%,8/1/2024,schaffererin,No,,a54ff448-f332-145b-cc56-55d747327136,8632a02c-41fa-3d3d-8850-790370c0cb65,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/concepts-ai-ml-language-models,Concepts - Small and large language models - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/concepts-ai-ml-language-models.md,,no,no bash or CLI commands present,110,-36.40%,88,H,0,12.70%,46.40%,85.20%,30.90%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=425142b8-2582-38df-efcd-dec4641b5d89,https://aka.ms/learncontenttrends?p_SelectedPlatformId=425142b8-2582-38df-efcd-dec4641b5d89,181-270 days,8/1/2024,6/24/2024,24,21.80%,7.30%,70.00%,0.90%,0.00%,1%,0%,85%,8/1/2024,schaffererin,No,,425142b8-2582-38df-efcd-dec4641b5d89,6802851d-0175-3a22-a252-7e09b860f663,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/concepts-storage,Concepts - Storage in Azure Kubernetes Services (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/concepts-storage.md,,no,no eligible bash or Azure CLI command blocks present; content is conceptual/reference only,"4,156",-28.30%,"2,534",H,0,10.80%,27.80%,88.80%,36.70%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=69dfa67f-7362-c3fc-29e8-7b882114a64a,https://aka.ms/learncontenttrends?p_SelectedPlatformId=69dfa67f-7362-c3fc-29e8-7b882114a64a,271-365 days,2/25/2025,5/2/2024,"2,478",59.60%,13.90%,23.10%,3.40%,0.00%,9%,0%,89%,8/1/2024,schaffererin,No,,69dfa67f-7362-c3fc-29e8-7b882114a64a,78a08815-312b-3c28-b2cd-971fed83aea1,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/concepts-sustainable-software-engineering,Concepts - Sustainable software engineering in Azure Kubernetes Services (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/concepts-sustainable-software-engineering.md,,no,no bash or Azure CLI commands; content is conceptual and guidance only,61,-38.40%,55,H,0,1.60%,65.60%,85.50%,14.80%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=7ac2bfb3-4fd0-7753-da39-1f633154c8cb,https://aka.ms/learncontenttrends?p_SelectedPlatformId=7ac2bfb3-4fd0-7753-da39-1f633154c8cb,> 365 days,8/1/2024,6/20/2023,4,6.60%,4.90%,85.20%,3.30%,0.00%,0%,0%,86%,8/1/2024,nickoman,No,,7ac2bfb3-4fd0-7753-da39-1f633154c8cb,777ea948-5576-3190-87d8-167aeb85d321,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/container-network-observability-concepts,Container Network Observability - Advanced Container Networking Services (ACNS) for Azure Kubernetes Service (AKS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/container-network-observability-concepts.md,,no,"no bash or CLI code blocks for execution present, only conceptual content and tables",739,-13.30%,387,H,0,8.10%,46.70%,89.40%,28.10%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=4ecd8da9-dcdc-8c0a-3962-fa84e598d7d6,https://aka.ms/learncontenttrends?p_SelectedPlatformId=4ecd8da9-dcdc-8c0a-3962-fa84e598d7d6,271-365 days,########,5/10/2024,138,18.70%,12.40%,67.40%,1.50%,0.00%,10%,0%,89%,########,kparekh,No,,4ecd8da9-dcdc-8c0a-3962-fa84e598d7d6,d05c55fe-8933-36af-8177-690975dc9d03,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
25-Feb,Concepts,conceptual,https://learn.microsoft.com/en-us/azure/aks/container-network-security-concepts,Container Network Security with Advanced Container Networking Services (ACNS) - Azure Kubernetes Service,https://raw.githubusercontent.com/MicrosoftDocs/azure-aks-docs/refs/heads/main/articles/aks/container-network-security-concepts.md,,no,no supported Bash or Azure CLI commands present,201,-36.40%,123,H,0,11.40%,43.30%,89.40%,27.90%,,,,https://aka.ms/learncontentdrilldown?p_SelectedPlatformId=727612de-8329-bfc6-a273-0469ef589672,https://aka.ms/learncontenttrends?p_SelectedPlatformId=727612de-8329-bfc6-a273-0469ef589672,181-270 days,1/15/2025,7/30/2024,34,16.90%,9.50%,73.60%,0.00%,0.00%,8%,0%,89%,########,samfoo,No,,727612de-8329-bfc6-a273-0469ef589672,641a3c14-4c89-32b7-8ee1-a5eba313d1db,"[""infrastructure"",""digital-app-innovation"",""data-ai""]"
